"","year","happy","commute","realrinc","educ","race","gender"
"523",1986,0,30,2038,16,"Non White","Male"
"524",1986,1,10,6625,12,"Non White","Male"
"525",1986,1,10,24207,20,"White","Male"
"526",1986,1,10,101376,19,"White","Male"
"527",1986,1,15,45866,16,"White","Male"
"528",1986,1,20,38222,14,"White","Male"
"529",1986,1,25,14015,12,"White","Male"
"530",1986,1,20,6625,13,"White","Male"
"531",1986,1,30,510,12,"White","Male"
"532",1986,1,10,5606,16,"White","Female"
"533",1986,1,15,14015,14,"Non White","Female"
"534",1986,1,30,19111,12,"White","Male"
"535",1986,0,20,24207,12,"White","Male"
"536",1986,1,30,7644,12,"White","Male"
"537",1986,1,3,14015,12,"White","Male"
"538",1986,1,30,9173,14,"White","Male"
"539",1986,1,15,24207,16,"White","Female"
"540",1986,1,0,2038,15,"White","Male"
"541",1986,1,15,24207,16,"White","Male"
"542",1986,1,15,510,13,"White","Female"
"543",1986,1,40,14015,16,"White","Female"
"544",1986,1,15,21659,14,"White","Male"
"545",1986,1,15,2038,16,"White","Female"
"546",1986,1,10,19111,16,"White","Female"
"547",1986,0,20,3567,12,"White","Male"
"548",1986,1,25,3567,11,"White","Male"
"549",1986,1,25,28029,10,"White","Male"
"550",1986,1,2,16563,16,"White","Female"
"551",1986,1,3,11466,16,"White","Male"
"552",1986,1,25,19111,14,"White","Male"
"553",1986,1,0,4587,12,"White","Male"
"554",1986,1,20,11466,14,"Non White","Male"
"555",1986,1,30,45866,19,"White","Male"
"556",1986,1,30,33125,18,"White","Male"
"557",1986,1,10,16563,13,"White","Female"
"558",1986,1,15,28029,10,"White","Male"
"559",1986,0,16,14015,9,"White","Female"
"560",1986,1,10,2038,9,"White","Male"
"561",1986,1,30,45866,11,"White","Male"
"562",1986,1,30,21659,11,"White","Male"
"563",1986,1,35,38222,12,"White","Male"
"564",1986,1,2,2038,12,"White","Female"
"565",1986,1,2,3567,13,"White","Male"
"566",1986,1,45,33125,12,"White","Female"
"567",1986,0,20,2038,13,"Non White","Male"
"568",1986,0,15,11466,12,"Non White","Male"
"569",1986,1,15,4587,11,"White","Male"
"570",1986,1,15,14015,11,"Non White","Male"
"571",1986,1,45,11466,12,"White","Male"
"572",1986,1,5,16563,12,"White","Male"
"573",1986,1,30,21659,12,"White","Male"
"574",1986,1,30,7644,12,"White","Male"
"575",1986,1,15,6625,12,"White","Male"
"576",1986,1,2,510,12,"White","Male"
"577",1986,1,6,19111,13,"White","Male"
"578",1986,1,25,7644,12,"White","Male"
"579",1986,1,15,510,19,"White","Male"
"580",1986,1,25,101376,20,"White","Male"
"581",1986,1,30,56058,13,"White","Male"
"582",1986,1,45,14015,20,"White","Male"
"583",1986,1,25,11466,17,"White","Male"
"584",1986,1,0,33125,19,"White","Female"
"585",1986,1,25,4587,14,"White","Male"
"586",1986,1,45,28029,13,"White","Male"
"587",1986,1,20,24207,16,"White","Female"
"588",1986,1,15,24207,17,"White","Male"
"589",1986,1,20,33125,13,"White","Male"
"590",1986,1,20,11466,13,"White","Male"
"591",1986,1,30,24207,16,"White","Male"
"592",1986,1,15,7644,12,"White","Male"
"593",1986,1,10,3567,13,"White","Male"
"594",1986,1,15,28029,14,"White","Male"
"595",1986,1,20,56058,15,"White","Male"
"596",1986,0,10,5606,14,"White","Female"
"597",1986,1,20,38222,17,"White","Female"
"598",1986,1,10,28029,16,"White","Male"
"599",1986,1,20,45866,17,"White","Male"
"600",1986,1,14,28029,17,"White","Male"
"601",1986,1,30,6625,12,"White","Male"
"602",1986,1,45,45866,12,"White","Male"
"603",1986,0,30,14015,12,"White","Male"
"604",1986,1,12,33125,20,"White","Male"
"605",1986,1,15,56058,15,"White","Female"
"606",1986,1,10,33125,14,"White","Female"
"607",1986,1,25,56058,17,"White","Male"
"608",1986,1,20,19111,17,"White","Male"
"609",1986,1,97,101376,12,"White","Male"
"610",1986,1,15,11466,13,"White","Male"
"611",1986,1,10,38222,12,"White","Male"
"612",1986,1,25,21659,18,"White","Male"
"613",1986,1,30,9173,20,"White","Male"
"614",1986,1,35,45866,16,"White","Male"
"615",1986,1,3,14015,12,"White","Male"
"616",1986,1,45,21659,12,"White","Female"
"617",1986,1,20,45866,16,"White","Male"
"618",1986,1,20,33125,12,"White","Male"
"619",1986,1,35,33125,15,"White","Male"
"620",1986,1,5,21659,16,"White","Female"
"621",1986,1,35,33125,12,"Non White","Male"
"622",1986,1,3,2038,14,"White","Male"
"623",1986,1,35,38222,10,"White","Male"
"624",1986,1,20,45866,13,"White","Male"
